secid,date,days,volatility,index_flag
108105,2012-03-07,30,0.092382,1
108105,2012-03-07,60,0.089853,1
108105,2012-03-07,91,0.132272,1
108105,2012-03-07,122,0.179666,1
108105,2012-03-07,152,0.20538,1
108105,2012-03-07,182,0.223491,1
108105,2012-03-07,273,0.257743,1
108105,2012-03-07,365,0.231222,1
108105,2012-03-07,547,0.20111,1
108105,2012-03-07,730,0.20459,1
108105,2012-03-07,1825,0.266624,1
108105,2012-03-08,10,0.131391,1
108105,2012-03-08,14,0.116417,1
108105,2012-03-08,30,0.097941,1
108105,2012-03-08,60,0.091094,1
108105,2012-03-08,91,0.124946,1
108105,2012-03-08,122,0.180089,1
108105,2012-03-08,152,0.204783,1
108105,2012-03-08,182,0.223213,1
108105,2012-03-08,273,0.257848,1
108105,2012-03-08,365,0.231419,1
108105,2012-03-08,547,0.201194,1
108105,2012-03-08,730,0.204696,1
108105,2012-03-08,1825,0.266554,1
108105,2012-03-09,10,0.131663,1
108105,2012-03-09,14,0.117526,1
108105,2012-03-09,30,0.098354,1
108105,2012-03-09,60,0.091217,1
108105,2012-03-09,91,0.121081,1
108105,2012-03-09,122,0.179163,1
108105,2012-03-09,152,0.20382,1
108105,2012-03-09,182,0.219557,1
108105,2012-03-09,273,0.257331,1
108105,2012-03-09,365,0.230641,1
108105,2012-03-09,547,0.201179,1
108105,2012-03-09,730,0.204688,1
108105,2012-03-09,1825,0.266453,1
108105,2012-03-12,10,0.143869,1
108105,2012-03-12,14,0.1174,1
108105,2012-03-12,30,0.096843,1
108105,2012-03-12,60,0.091644,1
108105,2012-03-12,91,0.116242,1
108105,2012-03-12,122,0.164414,1
108105,2012-03-12,152,0.199096,1
108105,2012-03-12,182,0.219418,1
108105,2012-03-12,273,0.257331,1
108105,2012-03-12,365,0.230539,1
108105,2012-03-12,547,0.201149,1
108105,2012-03-12,730,0.204874,1
108105,2012-03-12,1825,0.266486,1
108105,2012-03-13,10,0.169245,1
108105,2012-03-13,14,0.147315,1
108105,2012-03-13,30,0.11111,1
108105,2012-03-13,60,0.099101,1
108105,2012-03-13,91,0.118826,1
108105,2012-03-13,122,0.16608,1
108105,2012-03-13,152,0.20069,1
108105,2012-03-13,182,0.220418,1
108105,2012-03-13,273,0.257753,1
108105,2012-03-13,365,0.231136,1
108105,2012-03-13,547,0.201468,1
108105,2012-03-13,730,0.205049,1
108105,2012-03-13,1825,0.266603,1
108105,2012-03-14,10,0.158224,1
108105,2012-03-14,14,0.143992,1
108105,2012-03-14,30,0.110087,1
108105,2012-03-14,60,0.098173,1
108105,2012-03-14,91,0.115708,1
108105,2012-03-14,122,0.165118,1
108105,2012-03-14,152,0.199172,1
108105,2012-03-14,182,0.219777,1
108105,2012-03-14,273,0.256906,1
108105,2012-03-14,365,0.23085,1
108105,2012-03-14,547,0.201471,1
108105,2012-03-14,730,0.205052,1
108105,2012-03-14,1825,0.266598,1
108105,2012-03-15,10,0.15413,1
108105,2012-03-15,14,0.143845,1
108105,2012-03-15,30,0.110768,1
108105,2012-03-15,60,0.097471,1
108105,2012-03-15,91,0.115932,1
108105,2012-03-15,122,0.164218,1
108105,2012-03-15,152,0.198337,1
108105,2012-03-15,182,0.218721,1
108105,2012-03-15,273,0.256979,1
108105,2012-03-15,365,0.230039,1
108105,2012-03-15,547,0.201504,1
108105,2012-03-15,730,0.205024,1
108105,2012-03-15,1825,0.266505,1
108105,2012-03-16,10,0.098931,1
108105,2012-03-16,14,0.140977,1
108105,2012-03-16,30,0.107688,1
108105,2012-03-16,60,0.096328,1
108105,2012-03-16,91,0.115944,1
108105,2012-03-16,122,0.164107,1
108105,2012-03-16,152,0.197381,1
108105,2012-03-16,182,0.218626,1
108105,2012-03-16,273,0.256964,1
108105,2012-03-16,365,0.229677,1
108105,2012-03-16,547,0.201503,1
108105,2012-03-16,730,0.204988,1
108105,2012-03-16,1825,0.2664,1
108105,2012-03-19,10,0.111431,1
108105,2012-03-19,14,0.136484,1
108105,2012-03-19,30,0.105725,1
108105,2012-03-19,60,0.09571,1
108105,2012-03-19,91,0.112254,1
108105,2012-03-19,122,0.159597,1
108105,2012-03-19,152,0.193099,1
108105,2012-03-19,182,0.218093,1
108105,2012-03-19,273,0.256933,1
108105,2012-03-19,365,0.229672,1
